# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.on.before.changed.ms,1777149914068000000,1777149974121000000,16
workspaceModel.replace.project.model.ms,1777149914068000000,1777149974121000000,0
workspaceModel.updates.ms,1777149914068000000,1777149974121000000,45
workspaceModel.initializing.ms,1777149914068000000,1777149974121000000,3
workspaceModel.entityStorageSnapshotImpl.instances.count,1777149914068000000,1777149974121000000,25
workspaceModel.cachedValueWithParameters.calculated.count,1777149914068000000,1777149974121000000,0
workspaceModel.cachedValueWithParameters.from.cache.count,1777149914068000000,1777149974121000000,0
workspaceModel.pre.handlers.ms,1777149914068000000,1777149974121000000,0
workspaceModel.workspaceFileIndexData.processFileSets.ms,1777149914068000000,1777149974121000000,0
workspaceModel.cachedValue.clear.count,1777149914068000000,1777149974121000000,0
workspaceModel.workspaceFileIndexData.init.ms,1777149914068000000,1777149974121000000,141
workspaceModel.on.changed.ms,1777149914068000000,1777149974121000000,10
workspaceModel.cachedValueWithParameters.clear.count,1777149914068000000,1777149974121000000,0
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1777149914068000000,1777149974121000000,59
workspaceModel.update.unloaded.entities.ms,1777149914068000000,1777149974121000000,0
workspaceModel.cachedValueWithParameters.total.get.count,1777149914068000000,1777149974121000000,0
workspaceModel.collect.changes.ms,1777149914068000000,1777149974121000000,0
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1777149914068000000,1777149974121000000,0
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1777149914068000000,1777149974121000000,479
workspaceModel.full.replace.project.model.ms,1777149914068000000,1777149974121000000,1
workspaceModel.loading.from.cache.ms,1777149914068000000,1777149974121000000,149
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1777149914068000000,1777149974121000000,0
workspaceModel.cachedValue.total.get.count,1777149914068000000,1777149974121000000,106
workspaceModel.workspaceFileIndexData.instances.count,1777149914068000000,1777149974121000000,1
workspaceModel.updates.precise.ms,1777149914068000000,1777149974121000000,15
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1777149914068000000,1777149974121000000,21
workspaceModel.loading.total.ms,1777149914068000000,1777149974121000000,156
workspaceModel.workspaceFileIndexData.getPackageName.ms,1777149914068000000,1777149974121000000,5
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1777149914068000000,1777149974121000000,276
workspaceModel.updates.count,1777149914068000000,1777149974121000000,5
workspaceModel.to.snapshot.ms,1777149914068000000,1777149974121000000,0
workspaceModel.init.bridges.ms,1777149914068000000,1777149974121000000,3
workspaceModel.cachedValue.from.cache.count,1777149914068000000,1777149974121000000,90
workspaceModel.check.recursive.update.ms,1777149914068000000,1777149974121000000,1
workspaceModel.workspaceFileIndexData.markDirty.ms,1777149914068000000,1777149974121000000,0
workspaceModel.cachedValue.calculated.count,1777149914068000000,1777149974121000000,16
VFS.contentStorage.recordsDecompressionTimeUs,1777149914068000000,1777149974121000000,0
FileNameCache.totalMisses,1777149914068000000,1777149974121000000,46272
VFS.cache.segmentsCreated,1777149914068000000,1777149974121000000,119
VFS.contentStorage.recordsDeduplicated,1777149914068000000,1777149974121000000,0
VFS.folderCaseSensitivityReads,1777149914068000000,1777149974121000000,0
VFS.cache.directoriesCreated,1777149914068000000,1777149974121000000,2822
VFS.contentStorage.recordsReadDecompressed,1777149914068000000,1777149974121000000,0
VFS.contentStorage.recordsRead,1777149914068000000,1777149974121000000,10
VFS.fileChildByName,1777149914068000000,1777149974121000000,2589
VFS.contentStorage.recordsStored,1777149914068000000,1777149974121000000,0
VFS.cache.segments,1777149914068000000,1777149974121000000,118.0
VFS.rootsCount,1777149914068000000,1777149974121000000,20.0
VFS.invertedFileNameIndex.requests,1777149914068000000,1777149974121000000,2
VFS.contentStorage.recordsStoredCompressed,1777149914068000000,1777149974121000000,0
FileNameCache.queries,1777149914068000000,1777149974121000000,585536
VFS.contentStorage.recordsStoredSize,1777149914068000000,1777149974121000000,0
VFS.cache.filesCreated,1777149914068000000,1777149974121000000,46723
VFS.contentStorage.recordsReadSize,1777149914068000000,1777149974121000000,2297
VFS.contentStorage.recordsUncompressedSize,1777149914068000000,1777149974121000000,0
VFS.fileByIdCache.hits,1777149914068000000,1777149974121000000,0
VFS.fileByIdCache.misses,1777149914068000000,1777149974121000000,7
compiler.ArtifactManagerBridge.addArtifact.ms,1777149914068000000,1777149974121000000,0
compiler.ArtifactManagerBridge.getArtifactsByType.ms,1777149914068000000,1777149974121000000,0
compiler.ArtifactManagerBridge.dropMappings.ms,1777149914068000000,1777149974121000000,0
compiler.ArtifactManagerBridge.commit.ms,1777149914068000000,1777149974121000000,0
compiler.ArtifactManagerBridge.findArtifact.ms,1777149914068000000,1777149974121000000,0
compiler.ArtifactManagerBridge.getArtifacts.ms,1777149914068000000,1777149974121000000,0
compiler.ArtifactManagerBridge.initBridges.ms,1777149914068000000,1777149974121000000,0
cacheStateStorage.get.duration,1777149914068000000,1777149974121000000,29
cacheStateStorage.set.counter,1777149914068000000,1777149974121000000,7
cacheStateStorage.get.counter,1777149914068000000,1777149974121000000,39
cacheStateStorage.set.duration,1777149914068000000,1777149974121000000,32
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1777149914068000000,1777149974121000000,3574162
MappedFileStorage.totalBytesMapped,1777149914068000000,1777149974121000000,177471488
FilePageCache.totalPageLoadsUs,1777149914068000000,1777149974121000000,287405
FilePageCache.pageFastCacheHits,1777149914068000000,1777149974121000000,7907
StorageLockContext.competingThreads.90P,1777149914068000000,1777149974121000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1777149914068000000,1777149974121000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1777149914068000000,1777149974121000000,0
StreamlinedBlobStorage.recordsDeleted,1777149914068000000,1777149974121000000,5
MappedFileStorage.totalTimeSpentOnMappingUs,1777149914068000000,1777149974121000000,24516
FilePageCache.disposedBuffers,1777149914068000000,1777149974121000000,405
FilePageCache.uncachedFileAccess,1777149914068000000,1777149974121000000,302
FilePageCache.maxCacheSizeInBytes,1777149914068000000,1777149974121000000,419446784
MappedFileStorage.totalPagesMapped,1777149914068000000,1777149974121000000,10
DirectByteBufferAllocator.misses,1777149914068000000,1777149974121000000,402
FilePageCache.capacityInBytes,1777149914068000000,1777149974121000000,629145600
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1777149914068000000,1777149974121000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1777149914068000000,1777149974121000000,41959424
DirectByteBufferAllocator.reclaimed,1777149914068000000,1777149974121000000,45
FilePageCache.maxRegisteredFiles,1777149914068000000,1777149974121000000,1085
FilePageCache.totalPageDisposalsUs,1777149914068000000,1777149974121000000,1475
DirectByteBufferAllocator.disposed,1777149914068000000,1777149974121000000,402
StreamlinedBlobStorage.recordsRelocated,1777149914068000000,1777149974121000000,0
MappedFileStorage.storages,1777149914068000000,1777149974121000000,10
StreamlinedBlobStorage.recordsAllocated,1777149914068000000,1777149974121000000,75578
FilePageCache.pageHits,1777149914068000000,1777149974121000000,0
StorageLockContext.competingThreads.avg,1777149914068000000,1777149974121000000,0.0
DirectByteBufferAllocator.hits,1777149914068000000,1777149974121000000,3
StorageLockContext.competingThreads.max,1777149914068000000,1777149974121000000,0
FilePageCache.pageLoads,1777149914068000000,1777149974121000000,405
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1777149914068000000,1777149974121000000,7052304
LowMemory.gcLoad,1777149914068000000,1777149974121000000,0.0
LowMemory.gcOverloaded,1777149914068000000,1777149974121000000,0
writeAction.wait.ms,1777149914068000000,1777149974121000000,22
lexer.textmate.time.ns,1777149914068000000,1777149974121000000,9209
writeAction.median.wait.ms,1777149914068000000,1777149974121000000,0
parser.textmate.size.bytes,1777149914068000000,1777149974121000000,153
writeAction.count,1777149914068000000,1777149974121000000,11
lexer.textmate.size.bytes,1777149914068000000,1777149974121000000,153
DiskQueryRelay.tasksRequested,1777149914068000000,1777149974121000000,114
DiskQueryRelay.tasksExecuted,1777149914068000000,1777149974121000000,113
parser.textmate.time.ns,1777149914068000000,1777149974121000000,212292
writeAction.max.wait.ms,1777149914068000000,1777149974121000000,19
DiskQueryRelay.taskWaitingTotalTimeUs,1777149914068000000,1777149974121000000,132317
DiskQueryRelay.taskExecutionTotalTimeUs,1777149914068000000,1777149974121000000,98259
FlushQueue.queueSize90P,1777149914068000000,1777149974121000000,0
FlushQueue.queueSizeAvg,1777149914068000000,1777149974121000000,0.0
AWTEventQueue.dispatchTimeAvgNs,1777149914068000000,1777149974121000000,0.0
NonBlockingReadAction.failedExecutionTimeUs,1777149914068000000,1777149974121000000,21034
AWTEventQueue.dispatchTimeTotalNS,1777149914068000000,1777149974121000000,11303740087
AWTEventQueue.eventsDispatched,1777149914068000000,1777149974121000000,0
FlushQueue.executionTime90PNs,1777149914068000000,1777149974121000000,0
FlushQueue.tasksExecuted,1777149914068000000,1777149974121000000,0
NonBlockingReadAction.failedExecutionsCount,1777149914068000000,1777149974121000000,2
NonBlockingReadAction.finalizedExecutionsCount,1777149914068000000,1777149974121000000,12
AWTEventQueue.dispatchTimeMaxNs,1777149914068000000,1777149974121000000,0
FlushQueue.queueSizeMax,1777149914068000000,1777149974121000000,0
FlushQueue.executionTimeAvgNs,1777149914068000000,1777149974121000000,0.0
WriteAction.executionsCount,1777149914068000000,1777149974121000000,12
FlushQueue.executionTimeMaxNs,1777149914068000000,1777149974121000000,0
FlushQueue.waitingTimeMaxNs,1777149914068000000,1777149974121000000,0
FlushQueue.waitingTime90PNs,1777149914068000000,1777149974121000000,0
FlushQueue.waitingTimeAvgNs,1777149914068000000,1777149974121000000,0.0
ReadAction.executionsCount,1777149914068000000,1777149974121000000,103216
NonBlockingReadAction.finalizedExecutionTimeUs,1777149914068000000,1777149974121000000,173133
AWTEventQueue.dispatchTime90PNs,1777149914068000000,1777149974121000000,0
jps.global.get.libraries.ms,1777149914068000000,1777149974121000000,1
workspaceModel.moduleManagerBridge.build.module.graph.ms,1777149914068000000,1777149974121000000,2
jps.facet.change.listener.init.bridge.ms,1777149914068000000,1777149974121000000,2
jps.global.initialize.library.bridges.ms,1777149914068000000,1777149974121000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1777149914068000000,1777149974121000000,1
workspaceModel.moduleManagerBridge.load.all.modules.ms,1777149914068000000,1777149974121000000,40
jps.facet.change.listener.process.change.events.ms,1777149914068000000,1777149974121000000,2
workspaceModel.mutableEntityStorage.remove.entity.ms,1777149914068000000,1777149974121000000,0
workspaceModel.save.cache.to.file.ms,1777149914068000000,1777149974121000000,45
workspaceModel.moduleBridge.before.changed.ms,1777149914068000000,1777149974121000000,0
workspaceModel.mutableEntityStorage.hasReferrers.ms,1777149914068000000,1777149974121000000,0
jps.global.get.library.by.name.ms,1777149914068000000,1777149974121000000,0
jps.load.initial.state.ms,1777149914068000000,1777149974121000000,33
workspaceModel.mutableEntityStorage.has.same.entities.ms,1777149914068000000,1777149974121000000,0
jps.artifact.entities.serializer.save.entities.ms,1777149914068000000,1777149974121000000,0
jps.global.initialize.library.bridges.after.loading.ms,1777149914068000000,1777149974121000000,1
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1777149914068000000,1777149974121000000,0
jps.module.iml.entities.serializer.save.entities.ms,1777149914068000000,1777149974121000000,0
jps.module.iml.entities.serializer.load.entities.ms,1777149914068000000,1777149974121000000,29
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1777149914068000000,1777149974121000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1777149914068000000,1777149974121000000,15
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1777149914068000000,1777149974121000000,0
jps.library.entities.serializer.save.entities.ms,1777149914068000000,1777149974121000000,0
jps.app.storage.content.reader.load.component.ms,1777149914068000000,1777149974121000000,3
jps.module.dependency.index.workspace.model.listener.on.changed.ms,1777149914068000000,1777149974121000000,0
workspaceModel.do.save.caches.ms,1777149914068000000,1777149974121000000,49
workspaceModel.moduleManagerBridge.create.module.instance.ms,1777149914068000000,1777149974121000000,0
jps.save.global.entities.ms,1777149914068000000,1777149974121000000,19
jps.artifact.entities.serializer.load.entities.ms,1777149914068000000,1777149974121000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1777149914068000000,1777149974121000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1777149914068000000,1777149974121000000,10
workspaceModel.moduleManagerBridge.load.module.ms,1777149914068000000,1777149974121000000,0
jps.facet.change.listener.before.change.events.ms,1777149914068000000,1777149974121000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1777149914068000000,1777149974121000000,1
workspaceModel.moduleManagerBridge.newModule.ms,1777149914068000000,1777149974121000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1777149914068000000,1777149974121000000,3
workspaceModel.mutableEntityStorage.instances.count,1777149914068000000,1777149974121000000,37
workspaceModel.moduleBridgeLoader.loading.modules.ms,1777149914068000000,1777149974121000000,448
workspaceModel.load.cache.metadata.from.file.ms,1777149914068000000,1777149974121000000,17
jps.global.handle.changed.events.ms,1777149914068000000,1777149974121000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1777149914068000000,1777149974121000000,4
workspaceModel.mutableEntityStorage.entities.ms,1777149914068000000,1777149974121000000,0
jps.global.handle.before.change.events.ms,1777149914068000000,1777149974121000000,0
jps.global.get.library.ms,1777149914068000000,1777149974121000000,0
