# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
cacheStateStorage.set.counter,1777150394250000000,1777150454260000000,3
cacheStateStorage.get.counter,1777150394250000000,1777150454260000000,31
cacheStateStorage.set.duration,1777150394250000000,1777150454260000000,1
cacheStateStorage.get.duration,1777150394250000000,1777150454260000000,67
workspaceModel.cachedValue.from.cache.count,1777150394250000000,1777150454260000000,81
workspaceModel.updates.count,1777150394250000000,1777150454260000000,5
workspaceModel.updates.ms,1777150394250000000,1777150454260000000,31
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1777150394250000000,1777150454260000000,173
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1777150394250000000,1777150454260000000,0
workspaceModel.cachedValueWithParameters.from.cache.count,1777150394250000000,1777150454260000000,0
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1777150394250000000,1777150454260000000,282
workspaceModel.on.changed.ms,1777150394250000000,1777150454260000000,9
workspaceModel.replace.project.model.ms,1777150394250000000,1777150454260000000,0
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1777150394250000000,1777150454260000000,219
workspaceModel.collect.changes.ms,1777150394250000000,1777150454260000000,0
workspaceModel.cachedValueWithParameters.clear.count,1777150394250000000,1777150454260000000,0
workspaceModel.check.recursive.update.ms,1777150394250000000,1777150454260000000,0
workspaceModel.update.unloaded.entities.ms,1777150394250000000,1777150454260000000,0
workspaceModel.loading.total.ms,1777150394250000000,1777150454260000000,119
workspaceModel.cachedValue.clear.count,1777150394250000000,1777150454260000000,0
workspaceModel.on.before.changed.ms,1777150394250000000,1777150454260000000,10
workspaceModel.to.snapshot.ms,1777150394250000000,1777150454260000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1777150394250000000,1777150454260000000,25
workspaceModel.updates.precise.ms,1777150394250000000,1777150454260000000,10
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1777150394250000000,1777150454260000000,0
workspaceModel.pre.handlers.ms,1777150394250000000,1777150454260000000,0
workspaceModel.workspaceFileIndexData.instances.count,1777150394250000000,1777150454260000000,1
workspaceModel.initializing.ms,1777150394250000000,1777150454260000000,1
workspaceModel.cachedValueWithParameters.calculated.count,1777150394250000000,1777150454260000000,0
workspaceModel.workspaceFileIndexData.init.ms,1777150394250000000,1777150454260000000,111
workspaceModel.cachedValue.total.get.count,1777150394250000000,1777150454260000000,96
workspaceModel.cachedValue.calculated.count,1777150394250000000,1777150454260000000,15
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1777150394250000000,1777150454260000000,13
workspaceModel.workspaceFileIndexData.getPackageName.ms,1777150394250000000,1777150454260000000,3
workspaceModel.loading.from.cache.ms,1777150394250000000,1777150454260000000,107
workspaceModel.workspaceFileIndexData.processFileSets.ms,1777150394250000000,1777150454260000000,0
workspaceModel.workspaceFileIndexData.markDirty.ms,1777150394250000000,1777150454260000000,0
workspaceModel.cachedValueWithParameters.total.get.count,1777150394250000000,1777150454260000000,0
workspaceModel.init.bridges.ms,1777150394250000000,1777150454260000000,1
workspaceModel.full.replace.project.model.ms,1777150394250000000,1777150454260000000,3
VFS.cache.segmentsCreated,1777150394250000000,1777150454260000000,118
VFS.cache.filesCreated,1777150394250000000,1777150454260000000,447
VFS.contentStorage.recordsStoredSize,1777150394250000000,1777150454260000000,0
VFS.cache.directoriesCreated,1777150394250000000,1777150454260000000,2820
VFS.contentStorage.recordsDecompressionTimeUs,1777150394250000000,1777150454260000000,0
VFS.contentStorage.recordsStoredCompressed,1777150394250000000,1777150454260000000,0
VFS.contentStorage.recordsStored,1777150394250000000,1777150454260000000,0
VFS.fileByIdCache.misses,1777150394250000000,1777150454260000000,5
VFS.fileChildByName,1777150394250000000,1777150454260000000,2153
VFS.folderCaseSensitivityReads,1777150394250000000,1777150454260000000,0
VFS.contentStorage.recordsReadSize,1777150394250000000,1777150454260000000,2337
VFS.contentStorage.recordsDeduplicated,1777150394250000000,1777150454260000000,0
FileNameCache.queries,1777150394250000000,1777150454260000000,1628992
VFS.contentStorage.recordsRead,1777150394250000000,1777150454260000000,10
VFS.invertedFileNameIndex.requests,1777150394250000000,1777150454260000000,2
VFS.contentStorage.recordsReadDecompressed,1777150394250000000,1777150454260000000,0
VFS.cache.segments,1777150394250000000,1777150454260000000,118.0
FileNameCache.totalMisses,1777150394250000000,1777150454260000000,50944
VFS.contentStorage.recordsUncompressedSize,1777150394250000000,1777150454260000000,0
VFS.rootsCount,1777150394250000000,1777150454260000000,20.0
VFS.fileByIdCache.hits,1777150394250000000,1777150454260000000,0
lexer.textmate.size.bytes,1777150394250000000,1777150454260000000,161
DiskQueryRelay.tasksRequested,1777150394250000000,1777150454260000000,90
writeAction.count,1777150394250000000,1777150454260000000,11
writeAction.max.wait.ms,1777150394250000000,1777150454260000000,15
LowMemory.gcLoad,1777150394250000000,1777150454260000000,0.0
DiskQueryRelay.taskExecutionTotalTimeUs,1777150394250000000,1777150454260000000,548134
parser.textmate.size.bytes,1777150394250000000,1777150454260000000,161
DiskQueryRelay.taskWaitingTotalTimeUs,1777150394250000000,1777150454260000000,587775
writeAction.median.wait.ms,1777150394250000000,1777150454260000000,0
writeAction.wait.ms,1777150394250000000,1777150454260000000,17
DiskQueryRelay.tasksExecuted,1777150394250000000,1777150454260000000,88
lexer.textmate.time.ns,1777150394250000000,1777150454260000000,5542
parser.textmate.time.ns,1777150394250000000,1777150454260000000,113459
LowMemory.gcOverloaded,1777150394250000000,1777150454260000000,0
compiler.ArtifactVirtualFileListener.filePathChanged.ms,1777150394250000000,1777150454260000000,0
compiler.ArtifactManagerBridge.getArtifactsByType.ms,1777150394250000000,1777150454260000000,0
compiler.ArtifactManagerBridge.commit.ms,1777150394250000000,1777150454260000000,0
compiler.ArtifactManagerBridge.findArtifact.ms,1777150394250000000,1777150454260000000,0
compiler.ArtifactManagerBridge.getArtifacts.ms,1777150394250000000,1777150454260000000,0
compiler.ArtifactVirtualFileListener.propertyChanged.ms,1777150394250000000,1777150454260000000,0
compiler.ArtifactManagerBridge.dropMappings.ms,1777150394250000000,1777150454260000000,0
compiler.ArtifactManagerBridge.addArtifact.ms,1777150394250000000,1777150454260000000,0
compiler.ArtifactManagerBridge.initBridges.ms,1777150394250000000,1777150454260000000,0
NonBlockingReadAction.failedExecutionsCount,1777150394250000000,1777150454260000000,0
FlushQueue.queueSizeMax,1777150394250000000,1777150454260000000,217
AWTEventQueue.dispatchTimeAvgNs,1777150394250000000,1777150454260000000,2431735.750883392
WriteAction.executionsCount,1777150394250000000,1777150454260000000,11
FlushQueue.waitingTimeMaxNs,1777150394250000000,1777150454260000000,4563402751
FlushQueue.tasksExecuted,1777150394250000000,1777150454260000000,5404
FlushQueue.executionTimeMaxNs,1777150394250000000,1777150454260000000,274726911
FlushQueue.queueSize90P,1777150394250000000,1777150454260000000,31
AWTEventQueue.dispatchTime90PNs,1777150394250000000,1777150454260000000,1687551
