# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
Indexes.allKeys.lookupDurationMaxMs,1777168032544000000,1777168092644000000,0.0
Indexes.entries.lookupDuration90PMs,1777168032544000000,1777168092644000000,0.0
Indexing.totalTimeIndexersSleptMs,1777168032544000000,1777168092644000000,0
Indexing.cache.totalCacheEvicted,1777168032544000000,1777168092644000000,16
Indexes.allKeys.lookups,1777168032544000000,1777168092644000000,2
Indexing.writer_0.totalTimeSpentWritingMs,1777168032544000000,1777168092644000000,0
Indexing.writesQueuedMin,1777168032544000000,1777168092644000000,9223372036854775807
Indexing.writesQueuedMax,1777168032544000000,1777168092644000000,0
Indexes.stubs.lookupDuration90PMs,1777168032544000000,1777168092644000000,0.0
Indexes.entries.lookups,1777168032544000000,1777168092644000000,92
Indexes.stubs.lookupDurationAvgMs,1777168032544000000,1777168092644000000,0.0
Indexes.allKeys.lookupDuration90PMs,1777168032544000000,1777168092644000000,0.0
Indexing.cache.totalCacheAccesses,1777168032544000000,1777168092644000000,36
Indexes.stubs.lookups,1777168032544000000,1777168092644000000,14
Indexing.cache.totalCacheMisses,1777168032544000000,1777168092644000000,23
Indexes.allKeys.lookupDurationAvgMs,1777168032544000000,1777168092644000000,0.0
Indexing.writer_3.totalTimeSpentWritingMs,1777168032544000000,1777168092644000000,0
Indexes.stubs.lookupDurationMaxMs,1777168032544000000,1777168092644000000,0.0
Indexes.entries.lookupDurationAvgMs,1777168032544000000,1777168092644000000,0.0
Indexes.entries.lookupDurationMaxMs,1777168032544000000,1777168092644000000,0.0
Indexing.writer_2.totalTimeSpentWritingMs,1777168032544000000,1777168092644000000,0
Indexing.writer_1.totalTimeSpentWritingMs,1777168032544000000,1777168092644000000,0
jps.global.handle.before.change.events.ms,1777168032544000000,1777168092644000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1777168032544000000,1777168092644000000,0
workspaceModel.moduleBridge.facet.initialization.ms,1777168032544000000,1777168092644000000,136
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1777168032544000000,1777168092644000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1777168032544000000,1777168092644000000,1
workspaceModel.do.save.caches.ms,1777168032544000000,1777168092644000000,34
workspaceModel.mutableEntityStorage.has.same.entities.ms,1777168032544000000,1777168092644000000,0
jps.module.iml.entities.serializer.load.entities.ms,1777168032544000000,1777168092644000000,7
workspaceModel.delayed.project.synchronizer.sync.ms,1777168032544000000,1777168092644000000,46
workspaceModel.moduleManagerBridge.load.all.modules.ms,1777168032544000000,1777168092644000000,15
jps.project.serializers.load.ms,1777168032544000000,1777168092644000000,13
jps.save.changed.project.entities.ms,1777168032544000000,1777168092644000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1777168032544000000,1777168092644000000,0
workspaceModel.sync.entities.ms,1777168032544000000,1777168092644000000,0
jps.facet.change.listener.process.change.events.ms,1777168032544000000,1777168092644000000,1
jps.facet.change.listener.before.change.events.ms,1777168032544000000,1777168092644000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1777168032544000000,1777168092644000000,0
workspaceModel.mutableEntityStorage.instances.count,1777168032544000000,1777168092644000000,37
jps.library.entities.serializer.load.entities.ms,1777168032544000000,1777168092644000000,4
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1777168032544000000,1777168092644000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1777168032544000000,1777168092644000000,0
jps.global.get.library.by.name.ms,1777168032544000000,1777168092644000000,0
workspaceModel.load.cache.metadata.from.file.ms,1777168032544000000,1777168092644000000,48
workspaceModel.orphan.listener.update.ms,1777168032544000000,1777168092644000000,1
workspaceModel.moduleBridgeLoader.loading.modules.ms,1777168032544000000,1777168092644000000,137
workspaceModel.mutableEntityStorage.remove.entity.ms,1777168032544000000,1777168092644000000,0
jps.storage.jps.conf.reader.load.component.ms,1777168032544000000,1777168092644000000,3
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1777168032544000000,1777168092644000000,0
jps.global.get.libraries.ms,1777168032544000000,1777168092644000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1777168032544000000,1777168092644000000,4
jps.reload.project.entities.ms,1777168032544000000,1777168092644000000,0
jps.module.iml.entities.serializer.save.entities.ms,1777168032544000000,1777168092644000000,0
jps.load.project.to.empty.storage.ms,1777168032544000000,1777168092644000000,39
workspaceModel.global.apply.state.to.project.builder.ms,1777168032544000000,1777168092644000000,1
workspaceModel.mutableEntityStorage.resolve.ms,1777168032544000000,1777168092644000000,0
jps.load.initial.state.ms,1777168032544000000,1777168092644000000,10
