# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
writeAction.count,1777168781837000000,1777168841928000000,74
DiskQueryRelay.taskExecutionTotalTimeUs,1777168781837000000,1777168841928000000,418153
LowMemory.gcOverloaded,1777168781837000000,1777168841928000000,0
DiskQueryRelay.tasksExecuted,1777168781837000000,1777168841928000000,249
parser.textmate.time.ns,1777168781837000000,1777168841928000000,130167
DiskQueryRelay.taskWaitingTotalTimeUs,1777168781837000000,1777168841928000000,491982
lexer.textmate.time.ns,1777168781837000000,1777168841928000000,12918
writeAction.max.wait.ms,1777168781837000000,1777168841928000000,17
lexer.textmate.size.bytes,1777168781837000000,1777168841928000000,412
writeAction.wait.ms,1777168781837000000,1777168841928000000,34
LowMemory.gcLoad,1777168781837000000,1777168841928000000,0.0
writeAction.median.wait.ms,1777168781837000000,1777168841928000000,0
DiskQueryRelay.tasksRequested,1777168781837000000,1777168841928000000,249
parser.textmate.size.bytes,1777168781837000000,1777168841928000000,412
Indexes.entries.lookupDurationAvgMs,1777168781837000000,1777168841928000000,0.0
Indexes.stubs.lookups,1777168781837000000,1777168841928000000,12
Indexing.writer_0.totalTimeSpentWritingMs,1777168781837000000,1777168841928000000,0
Indexes.entries.lookupDuration90PMs,1777168781837000000,1777168841928000000,0.0
Indexes.entries.lookupDurationMaxMs,1777168781837000000,1777168841928000000,0.0
Indexes.allKeys.lookupDuration90PMs,1777168781837000000,1777168841928000000,0.0
Indexing.cache.totalCacheEvicted,1777168781837000000,1777168841928000000,1165
Indexing.writesQueuedMin,1777168781837000000,1777168841928000000,9223372036854775807
Indexing.cache.totalCacheAccesses,1777168781837000000,1777168841928000000,1203
Indexing.writer_2.totalTimeSpentWritingMs,1777168781837000000,1777168841928000000,0
Indexes.stubs.lookupDuration90PMs,1777168781837000000,1777168841928000000,0.0
Indexes.stubs.lookupDurationAvgMs,1777168781837000000,1777168841928000000,0.0
Indexes.allKeys.lookupDurationAvgMs,1777168781837000000,1777168841928000000,0.0
Indexes.stubs.lookupDurationMaxMs,1777168781837000000,1777168841928000000,0.0
Indexing.cache.totalCacheMisses,1777168781837000000,1777168841928000000,1166
Indexing.totalTimeIndexersSleptMs,1777168781837000000,1777168841928000000,0
Indexes.allKeys.lookups,1777168781837000000,1777168841928000000,1
Indexing.writer_3.totalTimeSpentWritingMs,1777168781837000000,1777168841928000000,0
Indexes.allKeys.lookupDurationMaxMs,1777168781837000000,1777168841928000000,0.0
Indexes.entries.lookups,1777168781837000000,1777168841928000000,108
Indexing.writesQueuedMax,1777168781837000000,1777168841928000000,0
Indexing.writer_1.totalTimeSpentWritingMs,1777168781837000000,1777168841928000000,0
JVM.totalTimeAtSafepointsMs,1777168781837000000,1777168841928000000,476
MEM.ramBytes,1777168781837000000,1777168841928000000,1198325760
JVM.totalBytesAllocated,1777168781837000000,1777168841928000000,3966771424
JVM.totalDirectByteBuffersBytes,1777168781837000000,1777168841928000000,6223917
JVM.GC.collections,1777168781837000000,1777168841928000000,51
JVM.usedNativeBytes,1777168781837000000,1777168841928000000,421466736
JVM.maxThreadCount,1777168781837000000,1777168841928000000,147
JVM.usedHeapBytes,1777168781837000000,1777168841928000000,279789304
MEM.ramPlusSwapMinusFileMappingsBytes,1777168781837000000,1777168841928000000,1631015232
JVM.totalCpuTimeMs,1777168781837000000,1777168841928000000,48539
OS.loadAverage,1777168781837000000,1777168841928000000,3.87646484375
JVM.maxHeapBytes,1777168781837000000,1777168841928000000,2147483648
MEM.ramMinusFileMappingsBytes,1777168781837000000,1777168841928000000,659767296
JVM.threadCount,1777168781837000000,1777168841928000000,145
JVM.committedHeapBytes,1777168781837000000,1777168841928000000,449839104
JVM.totalSafepointCount,1777168781837000000,1777168841928000000,349
JVM.GC.collectionTimesMs,1777168781837000000,1777168841928000000,459
MEM.fileMappingsRamBytes,1777168781837000000,1777168841928000000,532971520
JVM.totalTimeToSafepointsMs,1777168781837000000,1777168841928000000,40
JVM.newThreadsCount,1777168781837000000,1777168841928000000,198
FilePageCache.pageLoadsAboveSizeThreshold,1777168781837000000,1777168841928000000,0
StorageLockContext.competingThreads.max,1777168781837000000,1777168841928000000,0
FilePageCache.disposedBuffers,1777168781837000000,1777168841928000000,619
FilePageCache.uncachedFileAccess,1777168781837000000,1777168841928000000,509
StreamlinedBlobStorage.recordsRelocated,1777168781837000000,1777168841928000000,0
DirectByteBufferAllocator.hits,1777168781837000000,1777168841928000000,44
StorageLockContext.competingThreads.90P,1777168781837000000,1777168841928000000,0
StreamlinedBlobStorage.recordsAllocated,1777168781837000000,1777168841928000000,403506
DirectByteBufferAllocator.reclaimed,1777168781837000000,1777168841928000000,87
FilePageCache.pageFastCacheHits,1777168781837000000,1777168841928000000,14154
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1777168781837000000,1777168841928000000,41967616
FilePageCache.maxRegisteredFiles,1777168781837000000,1777168841928000000,1085
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1777168781837000000,1777168841928000000,8130132
FilePageCache.totalPageLoadsUs,1777168781837000000,1777168841928000000,296908
DirectByteBufferAllocator.misses,1777168781837000000,1777168841928000000,575
StorageLockContext.competingThreads.avg,1777168781837000000,1777168841928000000,0.0
MappedFileStorage.totalTimeSpentOnMappingUs,1777168781837000000,1777168841928000000,9394
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1777168781837000000,1777168841928000000,30327963
FileChannelInterruptsRetryer.totalRetriedAttempts,1777168781837000000,1777168841928000000,0
MappedFileStorage.totalBytesMapped,1777168781837000000,1777168841928000000,223608832
MappedFileStorage.storages,1777168781837000000,1777168841928000000,15
StreamlinedBlobStorage.recordsDeleted,1777168781837000000,1777168841928000000,17
FilePageCache.maxCacheSizeInBytes,1777168781837000000,1777168841928000000,460349440
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1777168781837000000,1777168841928000000,0
FilePageCache.capacityInBytes,1777168781837000000,1777168841928000000,629145600
FilePageCache.pageHits,1777168781837000000,1777168841928000000,533
FilePageCache.pageLoads,1777168781837000000,1777168841928000000,619
MappedFileStorage.totalPagesMapped,1777168781837000000,1777168841928000000,17
FilePageCache.totalPageDisposalsUs,1777168781837000000,1777168841928000000,912
DirectByteBufferAllocator.disposed,1777168781837000000,1777168841928000000,575
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1777168781837000000,1777168841928000000,0
workspaceModel.cachedValueWithParameters.calculated.count,1777168781837000000,1777168841928000000,0
workspaceModel.initializing.ms,1777168781837000000,1777168841928000000,2
workspaceModel.cachedValueWithParameters.clear.count,1777168781837000000,1777168841928000000,0
workspaceModel.init.bridges.ms,1777168781837000000,1777168841928000000,2
workspaceModel.workspaceFileIndexData.processFileSets.ms,1777168781837000000,1777168841928000000,0
workspaceModel.workspaceFileIndexData.instances.count,1777168781837000000,1777168841928000000,2
workspaceModel.check.recursive.update.ms,1777168781837000000,1777168841928000000,1
workspaceModel.replace.project.model.ms,1777168781837000000,1777168841928000000,0
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1777168781837000000,1777168841928000000,123
workspaceModel.workspaceFileIndexData.getPackageName.ms,1777168781837000000,1777168841928000000,7
workspaceModel.workspaceFileIndexData.markDirty.ms,1777168781837000000,1777168841928000000,0
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1777168781837000000,1777168841928000000,765
workspaceModel.on.before.changed.ms,1777168781837000000,1777168841928000000,10
workspaceModel.to.snapshot.ms,1777168781837000000,1777168841928000000,0
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1777168781837000000,1777168841928000000,12
workspaceModel.updates.ms,1777168781837000000,1777168841928000000,24
workspaceModel.cachedValueWithParameters.total.get.count,1777168781837000000,1777168841928000000,0
workspaceModel.cachedValueWithParameters.from.cache.count,1777168781837000000,1777168841928000000,0
workspaceModel.cachedValue.clear.count,1777168781837000000,1777168841928000000,0
workspaceModel.update.unloaded.entities.ms,1777168781837000000,1777168841928000000,0
workspaceModel.workspaceFileIndexData.init.ms,1777168781837000000,1777168841928000000,81
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1777168781837000000,1777168841928000000,0
workspaceModel.on.changed.ms,1777168781837000000,1777168841928000000,7
workspaceModel.cachedValue.from.cache.count,1777168781837000000,1777168841928000000,232
workspaceModel.entityStorageSnapshotImpl.instances.count,1777168781837000000,1777168841928000000,42
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1777168781837000000,1777168841928000000,159
workspaceModel.collect.changes.ms,1777168781837000000,1777168841928000000,0
workspaceModel.pre.handlers.ms,1777168781837000000,1777168841928000000,0
workspaceModel.loading.from.cache.ms,1777168781837000000,1777168841928000000,101
workspaceModel.updates.count,1777168781837000000,1777168841928000000,9
workspaceModel.loading.total.ms,1777168781837000000,1777168841928000000,105
workspaceModel.cachedValue.total.get.count,1777168781837000000,1777168841928000000,263
workspaceModel.full.replace.project.model.ms,1777168781837000000,1777168841928000000,2
workspaceModel.cachedValue.calculated.count,1777168781837000000,1777168841928000000,31
workspaceModel.updates.precise.ms,1777168781837000000,1777168841928000000,5
compiler.ArtifactManagerBridge.getArtifacts.ms,1777168781837000000,1777168841928000000,0
compiler.ArtifactVirtualFileListener.filePathChanged.ms,1777168781837000000,1777168841928000000,0
compiler.ArtifactManagerBridge.commit.ms,1777168781837000000,1777168841928000000,0
compiler.ArtifactManagerBridge.initBridges.ms,1777168781837000000,1777168841928000000,0
compiler.ArtifactVirtualFileListener.propertyChanged.ms,1777168781837000000,1777168841928000000,0
compiler.ArtifactManagerBridge.addArtifact.ms,1777168781837000000,1777168841928000000,0
compiler.ArtifactManagerBridge.dropMappings.ms,1777168781837000000,1777168841928000000,0
compiler.ArtifactManagerBridge.findArtifact.ms,1777168781837000000,1777168841928000000,0
compiler.ArtifactManagerBridge.getArtifactsByType.ms,1777168781837000000,1777168841928000000,0
NonBlockingReadAction.failedExecutionsCount,1777168781837000000,1777168841928000000,2
ReadAction.executionsCount,1777168781837000000,1777168841928000000,110159
WriteAction.executionsCount,1777168781837000000,1777168841928000000,74
NonBlockingReadAction.finalizedExecutionTimeUs,1777168781837000000,1777168841928000000,190847
AWTEventQueue.dispatchTimeTotalNS,1777168781837000000,1777168841928000000,8497301476
AWTEventQueue.dispatchTime90PNs,1777168781837000000,1777168841928000000,0
FlushQueue.tasksExecuted,1777168781837000000,1777168841928000000,0
FlushQueue.queueSize90P,1777168781837000000,1777168841928000000,0
FlushQueue.waitingTimeMaxNs,1777168781837000000,1777168841928000000,0
FlushQueue.waitingTime90PNs,1777168781837000000,1777168841928000000,0
FlushQueue.queueSizeMax,1777168781837000000,1777168841928000000,0
FlushQueue.waitingTimeAvgNs,1777168781837000000,1777168841928000000,0.0
AWTEventQueue.eventsDispatched,1777168781837000000,1777168841928000000,0
FlushQueue.executionTimeAvgNs,1777168781837000000,1777168841928000000,0.0
NonBlockingReadAction.failedExecutionTimeUs,1777168781837000000,1777168841928000000,296466
AWTEventQueue.dispatchTimeMaxNs,1777168781837000000,1777168841928000000,0
FlushQueue.executionTimeMaxNs,1777168781837000000,1777168841928000000,0
FlushQueue.executionTime90PNs,1777168781837000000,1777168841928000000,0
NonBlockingReadAction.finalizedExecutionsCount,1777168781837000000,1777168841928000000,131
FlushQueue.queueSizeAvg,1777168781837000000,1777168841928000000,0.0
AWTEventQueue.dispatchTimeAvgNs,1777168781837000000,1777168841928000000,0.0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1777168781837000000,1777168841928000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1777168781837000000,1777168841928000000,1
jps.load.project.to.empty.storage.ms,1777168781837000000,1777168841928000000,48
jps.facet.change.listener.process.change.events.ms,1777168781837000000,1777168841928000000,1
jps.global.get.libraries.ms,1777168781837000000,1777168841928000000,0
jps.module.iml.entities.serializer.save.entities.ms,1777168781837000000,1777168841928000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1777168781837000000,1777168841928000000,3
workspaceModel.mutableEntityStorage.replace.by.source.ms,1777168781837000000,1777168841928000000,9
workspaceModel.load.cache.metadata.from.file.ms,1777168781837000000,1777168841928000000,16
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1777168781837000000,1777168841928000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1777168781837000000,1777168841928000000,0
jps.facet.change.listener.before.change.events.ms,1777168781837000000,1777168841928000000,0
jps.save.global.entities.ms,1777168781837000000,1777168841928000000,9
workspaceModel.orphan.listener.update.ms,1777168781837000000,1777168841928000000,0
workspaceModel.moduleBridge.update.option.ms,1777168781837000000,1777168841928000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1777168781837000000,1777168841928000000,1
