# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.cachedValueWithParameters.calculated.count,1777150923314000000,1777150983405000000,0
workspaceModel.check.recursive.update.ms,1777150923314000000,1777150983405000000,0
workspaceModel.pre.handlers.ms,1777150923314000000,1777150983405000000,0
workspaceModel.update.unloaded.entities.ms,1777150923314000000,1777150983405000000,0
workspaceModel.cachedValueWithParameters.from.cache.count,1777150923314000000,1777150983405000000,0
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1777150923314000000,1777150983405000000,124
workspaceModel.on.before.changed.ms,1777150923314000000,1777150983405000000,12
workspaceModel.cachedValue.clear.count,1777150923314000000,1777150983405000000,0
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1777150923314000000,1777150983405000000,270
workspaceModel.init.bridges.ms,1777150923314000000,1777150983405000000,2
workspaceModel.to.snapshot.ms,1777150923314000000,1777150983405000000,1
workspaceModel.updates.precise.ms,1777150923314000000,1777150983405000000,12
workspaceModel.cachedValue.from.cache.count,1777150923314000000,1777150983405000000,193
workspaceModel.workspaceFileIndexData.getPackageName.ms,1777150923314000000,1777150983405000000,4
workspaceModel.loading.from.cache.ms,1777150923314000000,1777150983405000000,140
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1777150923314000000,1777150983405000000,0
workspaceModel.updates.ms,1777150923314000000,1777150983405000000,40
workspaceModel.entityStorageSnapshotImpl.instances.count,1777150923314000000,1777150983405000000,42
workspaceModel.initializing.ms,1777150923314000000,1777150983405000000,2
workspaceModel.on.changed.ms,1777150923314000000,1777150983405000000,11
workspaceModel.cachedValue.total.get.count,1777150923314000000,1777150983405000000,222
workspaceModel.collect.changes.ms,1777150923314000000,1777150983405000000,0
workspaceModel.updates.count,1777150923314000000,1777150983405000000,9
workspaceModel.workspaceFileIndexData.init.ms,1777150923314000000,1777150983405000000,112
workspaceModel.loading.total.ms,1777150923314000000,1777150983405000000,147
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1777150923314000000,1777150983405000000,0
workspaceModel.full.replace.project.model.ms,1777150923314000000,1777150983405000000,1
workspaceModel.workspaceFileIndexData.instances.count,1777150923314000000,1777150983405000000,2
workspaceModel.workspaceFileIndexData.processFileSets.ms,1777150923314000000,1777150983405000000,0
workspaceModel.cachedValueWithParameters.clear.count,1777150923314000000,1777150983405000000,0
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1777150923314000000,1777150983405000000,221
workspaceModel.cachedValue.calculated.count,1777150923314000000,1777150983405000000,29
workspaceModel.workspaceFileIndexData.markDirty.ms,1777150923314000000,1777150983405000000,0
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1777150923314000000,1777150983405000000,11
workspaceModel.replace.project.model.ms,1777150923314000000,1777150983405000000,0
workspaceModel.cachedValueWithParameters.total.get.count,1777150923314000000,1777150983405000000,0
compiler.ArtifactManagerBridge.dropMappings.ms,1777150923314000000,1777150983405000000,0
compiler.ArtifactVirtualFileListener.propertyChanged.ms,1777150923314000000,1777150983405000000,0
compiler.ArtifactManagerBridge.commit.ms,1777150923314000000,1777150983405000000,0
compiler.ArtifactManagerBridge.getArtifactsByType.ms,1777150923314000000,1777150983405000000,0
compiler.ArtifactManagerBridge.addArtifact.ms,1777150923314000000,1777150983405000000,0
compiler.ArtifactManagerBridge.initBridges.ms,1777150923314000000,1777150983405000000,0
compiler.ArtifactVirtualFileListener.filePathChanged.ms,1777150923314000000,1777150983405000000,0
compiler.ArtifactManagerBridge.findArtifact.ms,1777150923314000000,1777150983405000000,0
compiler.ArtifactManagerBridge.getArtifacts.ms,1777150923314000000,1777150983405000000,0
cacheStateStorage.set.counter,1777150923314000000,1777150983405000000,14
cacheStateStorage.get.counter,1777150923314000000,1777150983405000000,41
cacheStateStorage.set.duration,1777150923314000000,1777150983405000000,11
cacheStateStorage.get.duration,1777150923314000000,1777150983405000000,106
VFS.contentStorage.recordsReadDecompressed,1777150923314000000,1777150983405000000,0
VFS.cache.directoriesCreated,1777150923314000000,1777150983405000000,2820
VFS.cache.filesCreated,1777150923314000000,1777150983405000000,1228
FileNameCache.queries,1777150923314000000,1777150983405000000,1045632
VFS.contentStorage.recordsDecompressionTimeUs,1777150923314000000,1777150983405000000,0
VFS.contentStorage.recordsStoredSize,1777150923314000000,1777150983405000000,182
VFS.cache.segmentsCreated,1777150923314000000,1777150983405000000,118
VFS.invertedFileNameIndex.requests,1777150923314000000,1777150983405000000,4
VFS.folderCaseSensitivityReads,1777150923314000000,1777150983405000000,0
FileNameCache.totalMisses,1777150923314000000,1777150983405000000,52480
VFS.fileByIdCache.misses,1777150923314000000,1777150983405000000,11
VFS.fileChildByName,1777150923314000000,1777150983405000000,5036
VFS.fileByIdCache.hits,1777150923314000000,1777150983405000000,0
VFS.contentStorage.recordsReadSize,1777150923314000000,1777150983405000000,4222
VFS.contentStorage.recordsUncompressedSize,1777150923314000000,1777150983405000000,182
VFS.contentStorage.recordsStored,1777150923314000000,1777150983405000000,1
VFS.contentStorage.recordsStoredCompressed,1777150923314000000,1777150983405000000,0
VFS.contentStorage.recordsDeduplicated,1777150923314000000,1777150983405000000,0
VFS.rootsCount,1777150923314000000,1777150983405000000,20.0
VFS.contentStorage.recordsRead,1777150923314000000,1777150983405000000,20
VFS.cache.segments,1777150923314000000,1777150983405000000,118.0
jps.global.initialize.library.bridges.after.loading.ms,1777150923314000000,1777150983405000000,1
jps.save.global.entities.ms,1777150923314000000,1777150983405000000,13
workspaceModel.mutableEntityStorage.to.snapshot.ms,1777150923314000000,1777150983405000000,3
jps.load.initial.state.ms,1777150923314000000,1777150983405000000,19
workspaceModel.mutableEntityStorage.resolve.ms,1777150923314000000,1777150983405000000,0
jps.library.entities.serializer.load.entities.ms,1777150923314000000,1777150983405000000,8
jps.project.serializers.save.ms,1777150923314000000,1777150983405000000,1
jps.facet.change.listener.process.change.events.ms,1777150923314000000,1777150983405000000,1
jps.reload.project.entities.ms,1777150923314000000,1777150983405000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1777150923314000000,1777150983405000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1777150923314000000,1777150983405000000,0
jps.library.entities.serializer.save.entities.ms,1777150923314000000,1777150983405000000,0
jps.load.project.to.empty.storage.ms,1777150923314000000,1777150983405000000,53
workspaceModel.mutableEntityStorage.put.entity.ms,1777150923314000000,1777150983405000000,8
workspaceModel.moduleBridge.update.option.ms,1777150923314000000,1777150983405000000,0
jps.module.iml.entities.serializer.save.entities.ms,1777150923314000000,1777150983405000000,0
workspaceModel.global.updates.count,1777150923314000000,1777150983405000000,1
jps.app.storage.content.writer.save.component.ms,1777150923314000000,1777150983405000000,4
jps.global.get.library.by.name.ms,1777150923314000000,1777150983405000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1777150923314000000,1777150983405000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1777150923314000000,1777150983405000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1777150923314000000,1777150983405000000,43
workspaceModel.global.updates.ms,1777150923314000000,1777150983405000000,6
jps.module.iml.entities.serializer.load.entities.ms,1777150923314000000,1777150983405000000,11
jps.project.serializers.load.ms,1777150923314000000,1777150983405000000,21
workspaceModel.moduleManagerBridge.build.module.graph.ms,1777150923314000000,1777150983405000000,1
jps.apply.loaded.storage.ms,1777150923314000000,1777150983405000000,8
jps.storage.jps.conf.reader.load.component.ms,1777150923314000000,1777150983405000000,4
workspaceModel.delayed.project.synchronizer.sync.ms,1777150923314000000,1777150983405000000,63
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1777150923314000000,1777150983405000000,6
jps.global.get.libraries.ms,1777150923314000000,1777150983405000000,0
workspaceModel.save.cache.to.file.ms,1777150923314000000,1777150983405000000,52
jps.save.changed.project.entities.ms,1777150923314000000,1777150983405000000,1
workspaceModel.sync.entities.ms,1777150923314000000,1777150983405000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1777150923314000000,1777150983405000000,16
workspaceModel.load.cache.from.file.ms,1777150923314000000,1777150983405000000,149
workspaceModel.moduleManagerBridge.newModule.ms,1777150923314000000,1777150983405000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1777150923314000000,1777150983405000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1777150923314000000,1777150983405000000,0
workspaceModel.moduleBridge.facet.initialization.ms,1777150923314000000,1777150983405000000,136
workspaceModel.moduleManagerBridge.create.module.instance.ms,1777150923314000000,1777150983405000000,0
jps.artifact.entities.serializer.save.entities.ms,1777150923314000000,1777150983405000000,0
jps.app.storage.content.reader.load.component.ms,1777150923314000000,1777150983405000000,4
jps.facet.change.listener.before.change.events.ms,1777150923314000000,1777150983405000000,0
workspaceModel.moduleBridgeLoader.loading.modules.ms,1777150923314000000,1777150983405000000,353
workspaceModel.mutableEntityStorage.modify.entity.ms,1777150923314000000,1777150983405000000,1
workspaceModel.global.apply.state.to.project.builder.ms,1777150923314000000,1777150983405000000,2
workspaceModel.mutableEntityStorage.entities.ms,1777150923314000000,1777150983405000000,0
workspaceModel.orphan.listener.update.ms,1777150923314000000,1777150983405000000,1
jps.global.handle.changed.events.ms,1777150923314000000,1777150983405000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1777150923314000000,1777150983405000000,0
workspaceModel.mutableEntityStorage.hasReferrers.ms,1777150923314000000,1777150983405000000,0
workspaceModel.moduleBridge.before.changed.ms,1777150923314000000,1777150983405000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1777150923314000000,1777150983405000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1777150923314000000,1777150983405000000,0
jps.global.handle.before.change.events.ms,1777150923314000000,1777150983405000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1777150923314000000,1777150983405000000,0
jps.global.get.library.ms,1777150923314000000,1777150983405000000,0
jps.facet.change.listener.init.bridge.ms,1777150923314000000,1777150983405000000,1
workspaceModel.do.save.caches.ms,1777150923314000000,1777150983405000000,50
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1777150923314000000,1777150983405000000,2
workspaceModel.global.apply.state.to.project.ms,1777150923314000000,1777150983405000000,35
workspaceModel.moduleManagerBridge.load.module.ms,1777150923314000000,1777150983405000000,0
jps.global.initialize.library.bridges.ms,1777150923314000000,1777150983405000000,1
workspaceModel.mutableEntityStorage.collect.changes.ms,1777150923314000000,1777150983405000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1777150923314000000,1777150983405000000,0
workspaceModel.load.cache.metadata.from.file.ms,1777150923314000000,1777150983405000000,17
jps.module.dependency.index.workspace.model.listener.on.changed.ms,1777150923314000000,1777150983405000000,1
jps.artifact.entities.serializer.load.entities.ms,1777150923314000000,1777150983405000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1777150923314000000,1777150983405000000,0
workspaceModel.mutableEntityStorage.instances.count,1777150923314000000,1777150983405000000,66
workspaceModel.mutableEntityStorage.replace.by.source.ms,1777150923314000000,1777150983405000000,9
writeAction.count,1777150923314000000,1777150983405000000,37
parser.textmate.time.ns,1777150923314000000,1777150983405000000,215500
DiskQueryRelay.tasksExecuted,1777150923314000000,1777150983405000000,181
LowMemory.gcOverloaded,1777150923314000000,1777150983405000000,0
