# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
Indexing.writesQueuedMax,1777146124290000000,1777146163028000000,0
Indexes.entries.lookupDuration90PMs,1777146124290000000,1777146163028000000,44.0
Indexes.allKeys.lookupDuration90PMs,1777146124290000000,1777146163028000000,0.0
Indexes.entries.lookupDurationAvgMs,1777146124290000000,1777146163028000000,28.666666666666668
Indexing.cache.totalCacheEvicted,1777146124290000000,1777146163028000000,3
Indexes.allKeys.lookups,1777146124290000000,1777146163028000000,0
Indexes.entries.lookups,1777146124290000000,1777146163028000000,3
Indexes.allKeys.lookupDurationAvgMs,1777146124290000000,1777146163028000000,0.0
Indexes.entries.lookupDurationMaxMs,1777146124290000000,1777146163028000000,44.0
Indexes.stubs.lookupDuration90PMs,1777146124290000000,1777146163028000000,0.0
Indexing.totalTimeIndexersSleptMs,1777146124290000000,1777146163028000000,0
Indexing.writer_1.totalTimeSpentWritingMs,1777146124290000000,1777146163028000000,0
Indexes.stubs.lookupDurationAvgMs,1777146124290000000,1777146163028000000,0.0
Indexing.writesQueuedMin,1777146124290000000,1777146163028000000,0
Indexing.writer_2.totalTimeSpentWritingMs,1777146124290000000,1777146163028000000,0
Indexes.stubs.lookupDurationMaxMs,1777146124290000000,1777146163028000000,0.0
Indexing.cache.totalCacheMisses,1777146124290000000,1777146163028000000,3
Indexing.writer_3.totalTimeSpentWritingMs,1777146124290000000,1777146163028000000,0
Indexing.writesQueuedAvg,1777146124290000000,1777146163028000000,0.0
Indexing.writer_0.totalTimeSpentWritingMs,1777146124290000000,1777146163028000000,0
Indexing.cache.totalCacheAccesses,1777146124290000000,1777146163028000000,6
Indexes.stubs.lookups,1777146124290000000,1777146163028000000,0
Indexes.allKeys.lookupDurationMaxMs,1777146124290000000,1777146163028000000,0.0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1777146124290000000,1777146163028000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1777146124290000000,1777146163028000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1777146124290000000,1777146163028000000,22
jps.save.global.entities.ms,1777146124290000000,1777146163028000000,13
jps.module.iml.entities.serializer.load.entities.ms,1777146124290000000,1777146163028000000,9
jps.global.get.library.ms,1777146124290000000,1777146163028000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1777146124290000000,1777146163028000000,0
jps.facet.change.listener.init.bridge.ms,1777146124290000000,1777146163028000000,5
jps.module.dependency.index.workspace.model.listener.on.changed.ms,1777146124290000000,1777146163028000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1777146124290000000,1777146163028000000,0
jps.apply.loaded.storage.ms,1777146124290000000,1777146163028000000,7
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1777146124290000000,1777146163028000000,0
jps.global.initialize.library.bridges.after.loading.ms,1777146124290000000,1777146163028000000,1
jps.load.initial.state.ms,1777146124290000000,1777146163028000000,29
workspaceModel.delayed.project.synchronizer.sync.ms,1777146124290000000,1777146163028000000,46
workspaceModel.global.apply.state.to.project.ms,1777146124290000000,1777146163028000000,87
workspaceModel.mutableEntityStorage.hasReferrers.ms,1777146124290000000,1777146163028000000,0
workspaceModel.mutableEntityStorage.instances.count,1777146124290000000,1777146163028000000,37
jps.project.serializers.save.ms,1777146124290000000,1777146163028000000,1
jps.global.initialize.library.bridges.ms,1777146124290000000,1777146163028000000,0
workspaceModel.mutableEntityStorage.entities.ms,1777146124290000000,1777146163028000000,0
jps.facet.change.listener.process.change.events.ms,1777146124290000000,1777146163028000000,6
workspaceModel.moduleBridgeLoader.loading.modules.ms,1777146124290000000,1777146163028000000,344
workspaceModel.mutableEntityStorage.referrers.ms,1777146124290000000,1777146163028000000,0
workspaceModel.moduleBridge.before.changed.ms,1777146124290000000,1777146163028000000,0
workspaceModel.global.updates.ms,1777146124290000000,1777146163028000000,4
jps.library.entities.serializer.load.entities.ms,1777146124290000000,1777146163028000000,6
workspaceModel.moduleManagerBridge.create.module.instance.ms,1777146124290000000,1777146163028000000,0
jps.reload.project.entities.ms,1777146124290000000,1777146163028000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1777146124290000000,1777146163028000000,9
workspaceModel.mutableEntityStorage.add.entity.ms,1777146124290000000,1777146163028000000,18
workspaceModel.global.apply.state.to.project.builder.ms,1777146124290000000,1777146163028000000,1
workspaceModel.mutableEntityStorage.to.snapshot.ms,1777146124290000000,1777146163028000000,2
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1777146124290000000,1777146163028000000,1
jps.project.serializers.load.ms,1777146124290000000,1777146163028000000,14
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1777146124290000000,1777146163028000000,0
workspaceModel.orphan.listener.update.ms,1777146124290000000,1777146163028000000,2
workspaceModel.sync.entities.ms,1777146124290000000,1777146163028000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1777146124290000000,1777146163028000000,1
jps.module.iml.entities.serializer.save.entities.ms,1777146124290000000,1777146163028000000,0
workspaceModel.moduleBridge.update.option.ms,1777146124290000000,1777146163028000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1777146124290000000,1777146163028000000,1
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1777146124290000000,1777146163028000000,6
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1777146124290000000,1777146163028000000,1
jps.global.get.library.by.name.ms,1777146124290000000,1777146163028000000,0
jps.artifact.entities.serializer.save.entities.ms,1777146124290000000,1777146163028000000,0
jps.global.handle.changed.events.ms,1777146124290000000,1777146163028000000,0
jps.load.project.to.empty.storage.ms,1777146124290000000,1777146163028000000,37
