# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
VFS.contentStorage.recordsDecompressionTimeUs,1777168945730000000,1777169005827000000,0
VFS.cache.filesCreated,1777168945730000000,1777169005827000000,3206
VFS.invertedFileNameIndex.requests,1777168945730000000,1777169005827000000,14
FileNameCache.queries,1777168945730000000,1777169005827000000,1080512
VFS.cache.directoriesCreated,1777168945730000000,1777169005827000000,2840
VFS.cache.segments,1777168945730000000,1777169005827000000,123.0
VFS.contentStorage.recordsDeduplicated,1777168945730000000,1777169005827000000,2
FileNameCache.totalMisses,1777168945730000000,1777169005827000000,52224
VFS.contentStorage.recordsStoredCompressed,1777168945730000000,1777169005827000000,0
VFS.contentStorage.recordsRead,1777168945730000000,1777169005827000000,75
VFS.folderCaseSensitivityReads,1777168945730000000,1777169005827000000,0
VFS.contentStorage.recordsReadDecompressed,1777168945730000000,1777169005827000000,0
VFS.contentStorage.recordsStored,1777168945730000000,1777169005827000000,1
VFS.fileByIdCache.hits,1777168945730000000,1777169005827000000,0
VFS.fileByIdCache.misses,1777168945730000000,1777169005827000000,59
VFS.contentStorage.recordsUncompressedSize,1777168945730000000,1777169005827000000,227
VFS.fileChildByName,1777168945730000000,1777169005827000000,21495
VFS.rootsCount,1777168945730000000,1777169005827000000,20.0
VFS.contentStorage.recordsStoredSize,1777168945730000000,1777169005827000000,227
VFS.cache.segmentsCreated,1777168945730000000,1777169005827000000,123
VFS.contentStorage.recordsReadSize,1777168945730000000,1777169005827000000,16410
cacheStateStorage.set.counter,1777168945730000000,1777169005827000000,41
cacheStateStorage.get.counter,1777168945730000000,1777169005827000000,59
cacheStateStorage.set.duration,1777168945730000000,1777169005827000000,7
cacheStateStorage.get.duration,1777168945730000000,1777169005827000000,116
JVM.GC.collectionTimesMs,1777168945730000000,1777169005827000000,361
JVM.totalTimeAtSafepointsMs,1777168945730000000,1777169005827000000,382
JVM.totalCpuTimeMs,1777168945730000000,1777169005827000000,65024
JVM.newThreadsCount,1777168945730000000,1777169005827000000,176
JVM.totalBytesAllocated,1777168945730000000,1777169005827000000,4058084584
MEM.ramBytes,1777168945730000000,1777169005827000000,1656946688
JVM.usedHeapBytes,1777168945730000000,1777169005827000000,407401232
MEM.fileMappingsRamBytes,1777168945730000000,1777169005827000000,530923520
JVM.maxHeapBytes,1777168945730000000,1777169005827000000,2147483648
JVM.usedNativeBytes,1777168945730000000,1777169005827000000,445623504
JVM.GC.collections,1777168945730000000,1777169005827000000,59
JVM.committedHeapBytes,1777168945730000000,1777169005827000000,596639744
OS.loadAverage,1777168945730000000,1777169005827000000,6.5546875
MEM.ramMinusFileMappingsBytes,1777168945730000000,1777169005827000000,1126023168
JVM.maxThreadCount,1777168945730000000,1777169005827000000,144
JVM.totalDirectByteBuffersBytes,1777168945730000000,1777169005827000000,485897914
JVM.totalTimeToSafepointsMs,1777168945730000000,1777169005827000000,76
JVM.totalSafepointCount,1777168945730000000,1777169005827000000,453
JVM.threadCount,1777168945730000000,1777169005827000000,144
MEM.ramPlusSwapMinusFileMappingsBytes,1777168945730000000,1777169005827000000,2141573656
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1777168945730000000,1777169005827000000,189
workspaceModel.on.changed.ms,1777168945730000000,1777169005827000000,8
workspaceModel.cachedValueWithParameters.total.get.count,1777168945730000000,1777169005827000000,0
workspaceModel.on.before.changed.ms,1777168945730000000,1777169005827000000,17
workspaceModel.update.unloaded.entities.ms,1777168945730000000,1777169005827000000,0
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1777168945730000000,1777169005827000000,0
