# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
VFS.contentStorage.recordsDeduplicated,1777149989730000000,1777150049819000000,0
VFS.fileByIdCache.misses,1777149989730000000,1777150049819000000,8
VFS.contentStorage.recordsReadSize,1777149989730000000,1777150049819000000,2603
VFS.contentStorage.recordsStoredCompressed,1777149989730000000,1777150049819000000,0
VFS.cache.segments,1777149989730000000,1777150049819000000,118.0
VFS.folderCaseSensitivityReads,1777149989730000000,1777150049819000000,0
VFS.contentStorage.recordsReadDecompressed,1777149989730000000,1777150049819000000,0
VFS.invertedFileNameIndex.requests,1777149989730000000,1777150049819000000,2
VFS.contentStorage.recordsStored,1777149989730000000,1777150049819000000,0
VFS.cache.segmentsCreated,1777149989730000000,1777150049819000000,118
FileNameCache.queries,1777149989730000000,1777150049819000000,1313920
VFS.fileByIdCache.hits,1777149989730000000,1777150049819000000,0
VFS.cache.filesCreated,1777149989730000000,1777150049819000000,377
VFS.rootsCount,1777149989730000000,1777150049819000000,20.0
VFS.contentStorage.recordsStoredSize,1777149989730000000,1777150049819000000,0
VFS.contentStorage.recordsUncompressedSize,1777149989730000000,1777150049819000000,0
VFS.fileChildByName,1777149989730000000,1777150049819000000,2139
VFS.contentStorage.recordsDecompressionTimeUs,1777149989730000000,1777150049819000000,0
FileNameCache.totalMisses,1777149989730000000,1777150049819000000,53504
VFS.contentStorage.recordsRead,1777149989730000000,1777150049819000000,12
VFS.cache.directoriesCreated,1777149989730000000,1777150049819000000,2822
writeAction.max.wait.ms,1777149989730000000,1777150049819000000,17
lexer.textmate.time.ns,1777149989730000000,1777150049819000000,5250
LowMemory.gcOverloaded,1777149989730000000,1777150049819000000,0
DiskQueryRelay.tasksRequested,1777149989730000000,1777150049819000000,175
lexer.textmate.size.bytes,1777149989730000000,1777150049819000000,153
parser.textmate.size.bytes,1777149989730000000,1777150049819000000,153
DiskQueryRelay.taskWaitingTotalTimeUs,1777149989730000000,1777150049819000000,518969
DiskQueryRelay.tasksExecuted,1777149989730000000,1777150049819000000,174
writeAction.median.wait.ms,1777149989730000000,1777150049819000000,0
DiskQueryRelay.taskExecutionTotalTimeUs,1777149989730000000,1777150049819000000,444487
LowMemory.gcLoad,1777149989730000000,1777150049819000000,9.302361219598912E-4
writeAction.count,1777149989730000000,1777150049819000000,11
writeAction.wait.ms,1777149989730000000,1777150049819000000,18
parser.textmate.time.ns,1777149989730000000,1777150049819000000,98791
cacheStateStorage.get.duration,1777149989730000000,1777150049819000000,25
cacheStateStorage.get.counter,1777149989730000000,1777150049819000000,39
cacheStateStorage.set.counter,1777149989730000000,1777150049819000000,7
cacheStateStorage.set.duration,1777149989730000000,1777150049819000000,30
compiler.ArtifactVirtualFileListener.filePathChanged.ms,1777149989730000000,1777150049819000000,0
compiler.ArtifactManagerBridge.addArtifact.ms,1777149989730000000,1777150049819000000,0
compiler.ArtifactManagerBridge.initBridges.ms,1777149989730000000,1777150049819000000,0
compiler.ArtifactManagerBridge.findArtifact.ms,1777149989730000000,1777150049819000000,0
compiler.ArtifactManagerBridge.dropMappings.ms,1777149989730000000,1777150049819000000,0
compiler.ArtifactManagerBridge.getArtifacts.ms,1777149989730000000,1777150049819000000,0
compiler.ArtifactManagerBridge.commit.ms,1777149989730000000,1777150049819000000,0
compiler.ArtifactVirtualFileListener.propertyChanged.ms,1777149989730000000,1777150049819000000,0
compiler.ArtifactManagerBridge.getArtifactsByType.ms,1777149989730000000,1777150049819000000,0
JVM.committedHeapBytes,1777149989730000000,1777150049819000000,390070272
