# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
Indexes.stubs.lookupDurationAvgMs,1777172597452000000,1777172609257000000,0.0
Indexing.cache.totalCacheAccesses,1777172597452000000,1777172609257000000,2180
Indexing.writer_1.totalTimeSpentWritingMs,1777172597452000000,1777172609257000000,0
Indexes.allKeys.lookupDurationMaxMs,1777172597452000000,1777172609257000000,0.0
Indexes.entries.lookups,1777172597452000000,1777172609257000000,113
Indexing.writesQueuedMin,1777172597452000000,1777172609257000000,9223372036854775807
Indexes.allKeys.lookupDuration90PMs,1777172597452000000,1777172609257000000,0.0
Indexes.allKeys.lookupDurationAvgMs,1777172597452000000,1777172609257000000,0.0
Indexing.cache.totalCacheEvicted,1777172597452000000,1777172609257000000,1701
Indexing.writer_0.totalTimeSpentWritingMs,1777172597452000000,1777172609257000000,0
Indexing.writer_3.totalTimeSpentWritingMs,1777172597452000000,1777172609257000000,0
Indexing.writer_2.totalTimeSpentWritingMs,1777172597452000000,1777172609257000000,0
Indexes.entries.lookupDuration90PMs,1777172597452000000,1777172609257000000,0.0
Indexing.cache.totalCacheMisses,1777172597452000000,1777172609257000000,1701
Indexes.stubs.lookups,1777172597452000000,1777172609257000000,402
Indexes.allKeys.lookups,1777172597452000000,1777172609257000000,2
Indexes.stubs.lookupDurationMaxMs,1777172597452000000,1777172609257000000,0.0
Indexes.entries.lookupDurationMaxMs,1777172597452000000,1777172609257000000,0.0
Indexes.stubs.lookupDuration90PMs,1777172597452000000,1777172609257000000,0.0
Indexing.writesQueuedMax,1777172597452000000,1777172609257000000,0
Indexes.entries.lookupDurationAvgMs,1777172597452000000,1777172609257000000,0.0
Indexing.totalTimeIndexersSleptMs,1777172597452000000,1777172609257000000,0
DiskQueryRelay.tasksExecuted,1777172597452000000,1777172609257000000,94
lexer.XML.size.bytes,1777172597452000000,1777172609257000000,2223
DiskQueryRelay.tasksRequested,1777172597452000000,1777172609257000000,96
parser.XML.size.bytes,1777172597452000000,1777172609257000000,2223
writeAction.wait.ms,1777172597452000000,1777172609257000000,29
lexer.IgnoreLang.size.bytes,1777172597452000000,1777172609257000000,368
writeAction.max.wait.ms,1777172597452000000,1777172609257000000,17
writeAction.median.wait.ms,1777172597452000000,1777172609257000000,0
DiskQueryRelay.taskWaitingTotalTimeUs,1777172597452000000,1777172609257000000,648137
DiskQueryRelay.taskExecutionTotalTimeUs,1777172597452000000,1777172609257000000,618398
lexer.XML.time.ns,1777172597452000000,1777172609257000000,1700000
parser.XML.time.ns,1777172597452000000,1777172609257000000,11179499
lexer.IgnoreLang.time.ns,1777172597452000000,1777172609257000000,107584
parser.IgnoreLang.size.bytes,1777172597452000000,1777172609257000000,368
parser.IgnoreLang.time.ns,1777172597452000000,1777172609257000000,3936958
writeAction.count,1777172597452000000,1777172609257000000,11
FilePageCache.maxRegisteredFiles,1777172597452000000,1777172609257000000,1082
FilePageCache.pageLoadsAboveSizeThreshold,1777172597452000000,1777172609257000000,0
StorageLockContext.competingThreads.avg,1777172597452000000,1777172609257000000,0.0
FilePageCache.totalPageLoadsUs,1777172597452000000,1777172609257000000,212089
DirectByteBufferAllocator.disposed,1777172597452000000,1777172609257000000,405
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1777172597452000000,1777172609257000000,41967616
FilePageCache.capacityInBytes,1777172597452000000,1777172609257000000,629145600
FileChannelInterruptsRetryer.totalRetriedAttempts,1777172597452000000,1777172609257000000,0
StorageLockContext.competingThreads.max,1777172597452000000,1777172609257000000,0
StorageLockContext.competingThreads.90P,1777172597452000000,1777172609257000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1777172597452000000,1777172609257000000,41967616
DirectByteBufferAllocator.misses,1777172597452000000,1777172609257000000,448
FilePageCache.pageLoads,1777172597452000000,1777172609257000000,452
FilePageCache.pageHits,1777172597452000000,1777172609257000000,0
FilePageCache.pageFastCacheHits,1777172597452000000,1777172609257000000,12922
FilePageCache.maxCacheSizeInBytes,1777172597452000000,1777172609257000000,466640896
FilePageCache.totalPageDisposalsUs,1777172597452000000,1777172609257000000,4755
DirectByteBufferAllocator.reclaimed,1777172597452000000,1777172609257000000,47
FilePageCache.disposedBuffers,1777172597452000000,1777172609257000000,452
FilePageCache.uncachedFileAccess,1777172597452000000,1777172609257000000,352
DirectByteBufferAllocator.hits,1777172597452000000,1777172609257000000,4
workspaceModel.workspaceFileIndexData.getPackageName.ms,1777172597452000000,1777172609257000000,1
workspaceModel.cachedValueWithParameters.from.cache.count,1777172597452000000,1777172609257000000,0
workspaceModel.on.changed.ms,1777172597452000000,1777172609257000000,5
workspaceModel.cachedValue.clear.count,1777172597452000000,1777172609257000000,0
workspaceModel.workspaceFileIndexData.init.ms,1777172597452000000,1777172609257000000,88
workspaceModel.collect.changes.ms,1777172597452000000,1777172609257000000,0
workspaceModel.workspaceFileIndexData.processFileSets.ms,1777172597452000000,1777172609257000000,0
workspaceModel.replace.project.model.ms,1777172597452000000,1777172609257000000,0
workspaceModel.init.bridges.ms,1777172597452000000,1777172609257000000,1
workspaceModel.cachedValue.calculated.count,1777172597452000000,1777172609257000000,9
workspaceModel.loading.from.cache.ms,1777172597452000000,1777172609257000000,125
workspaceModel.cachedValue.from.cache.count,1777172597452000000,1777172609257000000,164
workspaceModel.workspaceFileIndexData.instances.count,1777172597452000000,1777172609257000000,1
workspaceModel.cachedValue.total.get.count,1777172597452000000,1777172609257000000,173
workspaceModel.cachedValueWithParameters.calculated.count,1777172597452000000,1777172609257000000,0
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1777172597452000000,1777172609257000000,0
workspaceModel.updates.precise.ms,1777172597452000000,1777172609257000000,5
workspaceModel.check.recursive.update.ms,1777172597452000000,1777172609257000000,0
workspaceModel.pre.handlers.ms,1777172597452000000,1777172609257000000,0
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1777172597452000000,1777172609257000000,174
workspaceModel.entityStorageSnapshotImpl.instances.count,1777172597452000000,1777172609257000000,12
workspaceModel.updates.count,1777172597452000000,1777172609257000000,3
workspaceModel.workspaceFileIndexData.markDirty.ms,1777172597452000000,1777172609257000000,0
workspaceModel.updates.ms,1777172597452000000,1777172609257000000,22
workspaceModel.to.snapshot.ms,1777172597452000000,1777172609257000000,0
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1777172597452000000,1777172609257000000,0
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1777172597452000000,1777172609257000000,12
workspaceModel.full.replace.project.model.ms,1777172597452000000,1777172609257000000,0
workspaceModel.update.unloaded.entities.ms,1777172597452000000,1777172609257000000,0
workspaceModel.loading.total.ms,1777172597452000000,1777172609257000000,129
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1777172597452000000,1777172609257000000,113
workspaceModel.initializing.ms,1777172597452000000,1777172609257000000,1
workspaceModel.on.before.changed.ms,1777172597452000000,1777172609257000000,10
workspaceModel.cachedValueWithParameters.total.get.count,1777172597452000000,1777172609257000000,0
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1777172597452000000,1777172609257000000,200
workspaceModel.cachedValueWithParameters.clear.count,1777172597452000000,1777172609257000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1777172597452000000,1777172609257000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1777172597452000000,1777172609257000000,0
workspaceModel.moduleBridge.before.changed.ms,1777172597452000000,1777172609257000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1777172597452000000,1777172609257000000,12
workspaceModel.mutableEntityStorage.entities.by.source.ms,1777172597452000000,1777172609257000000,0
jps.global.handle.changed.events.ms,1777172597452000000,1777172609257000000,0
workspaceModel.global.updates.count,1777172597452000000,1777172609257000000,1
workspaceModel.mutableEntityStorage.modify.entity.ms,1777172597452000000,1777172609257000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1777172597452000000,1777172609257000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1777172597452000000,1777172609257000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1777172597452000000,1777172609257000000,3
jps.app.storage.content.writer.save.component.ms,1777172597452000000,1777172609257000000,2
jps.apply.loaded.storage.ms,1777172597452000000,1777172609257000000,0
jps.facet.change.listener.process.change.events.ms,1777172597452000000,1777172609257000000,1
jps.facet.change.listener.init.bridge.ms,1777172597452000000,1777172609257000000,0
jps.module.dependency.index.workspace.model.listener.on.changed.ms,1777172597452000000,1777172609257000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1777172597452000000,1777172609257000000,0
jps.app.storage.content.reader.load.component.ms,1777172597452000000,1777172609257000000,1
workspaceModel.moduleBridge.update.option.ms,1777172597452000000,1777172609257000000,0
jps.save.global.entities.ms,1777172597452000000,1777172609257000000,6
workspaceModel.global.apply.state.to.project.ms,1777172597452000000,1777172609257000000,23
jps.global.initialize.library.bridges.after.loading.ms,1777172597452000000,1777172609257000000,1
workspaceModel.do.save.caches.ms,1777172597452000000,1777172609257000000,24
workspaceModel.global.updates.ms,1777172597452000000,1777172609257000000,1
workspaceModel.mutableEntityStorage.entities.ms,1777172597452000000,1777172609257000000,0
workspaceModel.load.cache.from.file.ms,1777172597452000000,1777172609257000000,129
jps.facet.change.listener.before.change.events.ms,1777172597452000000,1777172609257000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1777172597452000000,1777172609257000000,2
workspaceModel.mutableEntityStorage.instances.count,1777172597452000000,1777172609257000000,11
workspaceModel.global.apply.state.to.project.builder.ms,1777172597452000000,1777172609257000000,0
jps.save.changed.project.entities.ms,1777172597452000000,1777172609257000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1777172597452000000,1777172609257000000,2
workspaceModel.mutableEntityStorage.hasReferrers.ms,1777172597452000000,1777172609257000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1777172597452000000,1777172609257000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1777172597452000000,1777172609257000000,0
workspaceModel.load.cache.metadata.from.file.ms,1777172597452000000,1777172609257000000,12
jps.reload.project.entities.ms,1777172597452000000,1777172609257000000,0
jps.library.entities.serializer.save.entities.ms,1777172597452000000,1777172609257000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1777172597452000000,1777172609257000000,1
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1777172597452000000,1777172609257000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1777172597452000000,1777172609257000000,0
jps.load.project.to.empty.storage.ms,1777172597452000000,1777172609257000000,0
jps.global.get.library.by.name.ms,1777172597452000000,1777172609257000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1777172597452000000,1777172609257000000,0
workspaceModel.moduleBridgeLoader.loading.modules.ms,1777172597452000000,1777172609257000000,134
jps.load.initial.state.ms,1777172597452000000,1777172609257000000,8
workspaceModel.sync.entities.ms,1777172597452000000,1777172609257000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1777172597452000000,1777172609257000000,0
workspaceModel.moduleBridge.facet.initialization.ms,1777172597452000000,1777172609257000000,134
workspaceModel.moduleManagerBridge.get.modules.ms,1777172597452000000,1777172609257000000,1
jps.global.get.library.ms,1777172597452000000,1777172609257000000,0
jps.global.get.libraries.ms,1777172597452000000,1777172609257000000,1
jps.global.initialize.library.bridges.ms,1777172597452000000,1777172609257000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1777172597452000000,1777172609257000000,3
jps.global.handle.before.change.events.ms,1777172597452000000,1777172609257000000,0
jps.library.entities.serializer.load.entities.ms,1777172597452000000,1777172609257000000,1
workspaceModel.save.cache.to.file.ms,1777172597452000000,1777172609257000000,25
workspaceModel.moduleManagerBridge.load.module.ms,1777172597452000000,1777172609257000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1777172597452000000,1777172609257000000,0
workspaceModel.orphan.listener.update.ms,1777172597452000000,1777172609257000000,1
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1777172597452000000,1777172609257000000,1
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1777172597452000000,1777172609257000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1777172597452000000,1777172609257000000,0
