# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
writeAction.wait.ms,1777172055468000000,1777172092627000000,17
lexer.XML.size.bytes,1777172055468000000,1777172092627000000,2223
parser.XML.size.bytes,1777172055468000000,1777172092627000000,2223
parser.IgnoreLang.time.ns,1777172055468000000,1777172092627000000,2569958
parser.XML.time.ns,1777172055468000000,1777172092627000000,7236709
lexer.IgnoreLang.size.bytes,1777172055468000000,1777172092627000000,368
writeAction.median.wait.ms,1777172055468000000,1777172092627000000,0
LowMemory.gcLoad,1777172055468000000,1777172092627000000,0.0019423051958252873
DiskQueryRelay.tasksRequested,1777172055468000000,1777172092627000000,154
DiskQueryRelay.tasksExecuted,1777172055468000000,1777172092627000000,154
parser.IgnoreLang.size.bytes,1777172055468000000,1777172092627000000,368
lexer.XML.time.ns,1777172055468000000,1777172092627000000,982042
LowMemory.gcOverloaded,1777172055468000000,1777172092627000000,0
lexer.IgnoreLang.time.ns,1777172055468000000,1777172092627000000,93417
writeAction.count,1777172055468000000,1777172092627000000,24
DiskQueryRelay.taskWaitingTotalTimeUs,1777172055468000000,1777172092627000000,91084
writeAction.max.wait.ms,1777172055468000000,1777172092627000000,5
DiskQueryRelay.taskExecutionTotalTimeUs,1777172055468000000,1777172092627000000,51447
jps.load.initial.state.ms,1777172055468000000,1777172092627000000,32
workspaceModel.mutableEntityStorage.resolve.ms,1777172055468000000,1777172092627000000,0
jps.artifact.entities.serializer.load.entities.ms,1777172055468000000,1777172092627000000,0
workspaceModel.load.cache.from.file.ms,1777172055468000000,1777172092627000000,170
workspaceModel.orphan.listener.update.ms,1777172055468000000,1777172092627000000,1
workspaceModel.save.cache.to.file.ms,1777172055468000000,1777172092627000000,77
jps.library.entities.serializer.load.entities.ms,1777172055468000000,1777172092627000000,5
jps.library.entities.serializer.save.entities.ms,1777172055468000000,1777172092627000000,0
workspaceModel.load.cache.metadata.from.file.ms,1777172055468000000,1777172092627000000,15
workspaceModel.moduleManagerBridge.load.all.modules.ms,1777172055468000000,1777172092627000000,31
