# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
JVM.totalTimeAtSafepointsMs,1777152656649000000,1777152716688000000,603
JVM.totalCpuTimeMs,1777152656649000000,1777152716688000000,80757
JVM.totalSafepointCount,1777152656649000000,1777152716688000000,556
MEM.fileMappingsRamBytes,1777152656649000000,1777152716688000000,628490240
OS.loadAverage,1777152656649000000,1777152716688000000,4.099609375
JVM.maxHeapBytes,1777152656649000000,1777152716688000000,2147483648
JVM.committedHeapBytes,1777152656649000000,1777152716688000000,917504000
JVM.totalBytesAllocated,1777152656649000000,1777152716688000000,5255396024
MEM.ramMinusFileMappingsBytes,1777152656649000000,1777152716688000000,1630863360
JVM.threadCount,1777152656649000000,1777152716688000000,143
MEM.ramPlusSwapMinusFileMappingsBytes,1777152656649000000,1777152716688000000,2832110584
MEM.ramBytes,1777152656649000000,1777152716688000000,2259353600
JVM.totalTimeToSafepointsMs,1777152656649000000,1777152716688000000,57
JVM.GC.collectionTimesMs,1777152656649000000,1777152716688000000,575
JVM.usedNativeBytes,1777152656649000000,1777152716688000000,623489144
JVM.newThreadsCount,1777152656649000000,1777152716688000000,157
JVM.maxThreadCount,1777152656649000000,1777152716688000000,145
JVM.usedHeapBytes,1777152656649000000,1777152716688000000,502943624
JVM.GC.collections,1777152656649000000,1777152716688000000,60
JVM.totalDirectByteBuffersBytes,1777152656649000000,1777152716688000000,569946609
compiler.ArtifactManagerBridge.addArtifact.ms,1777152656649000000,1777152716688000000,0
compiler.ArtifactManagerBridge.initBridges.ms,1777152656649000000,1777152716688000000,0
compiler.ArtifactVirtualFileListener.propertyChanged.ms,1777152656649000000,1777152716688000000,0
compiler.ArtifactManagerBridge.dropMappings.ms,1777152656649000000,1777152716688000000,0
compiler.ArtifactManagerBridge.getArtifactsByType.ms,1777152656649000000,1777152716688000000,0
compiler.ArtifactManagerBridge.getArtifacts.ms,1777152656649000000,1777152716688000000,0
